id,created_at,u_screen_name,u_followers,u_created_at,rt_id,rt_created_at,rt_screen_name,rt_u_followers,rt_u_created_at,text
ID_1488304012327886856,Tue Feb 01 00:11:42 +0000 2022,LeSlim19,983,Wed May 16 11:25:00 +0000 2012,RID_1314418472399462400,Mon Jan 31 23:24:27 +0000 2022,Hannah_Bananaz,26580,Mon Jan 31 23:24:27 +0000 2022,"RT @Hannah_Bananaz: CBC right now:

Reporter: why is this largely white protest being treated differently than other protests (Black Lives…"
ID_1488304015989424130,Tue Feb 01 00:11:43 +0000 2022,andresjavierCL,5223,Sun Jan 19 05:55:58 +0000 2020,RID_1228812123154849792,Mon Jan 31 23:33:37 +0000 2022,LehuedeJuan,9967,Mon Jan 31 23:33:37 +0000 2022,"RT @LehuedeJuan: Mr Trudeau @JustinTrudeau 
Your speech is unbelievable
You really like Black Lives Matter's protests? Do you think they ar…"
ID_1488304015989424130,Tue Feb 01 00:11:43 +0000 2022,andresjavierCL,5223,Sun Jan 19 05:55:58 +0000 2020,RID_1228812123154849792,Mon Jan 31 23:33:37 +0000 2022,LehuedeJuan,9967,Mon Jan 31 23:33:37 +0000 2022,"RT @LehuedeJuan: Mr Trudeau @JustinTrudeau 
Your speech is unbelievable
You really like Black Lives Matter's protests? Do you think they ar…"
ID_1488304032338878471,Tue Feb 01 00:11:47 +0000 2022,MarinhotpH,2006,Thu Aug 25 18:36:26 +0000 2011,NA,NA,NA,NA,NA,"AI, EU PERGUNTO""; ""QUEM VAI GRITAR PELA LIBERDADE DO ""BOB JEF""""?
É SULRREAL..ASSISTIRMOS A PASSIVIDADE COM QUE A SO… https://t.co/GLyrMyuYGw"
ID_1488304032338878471,Tue Feb 01 00:11:47 +0000 2022,MarinhotpH,2006,Thu Aug 25 18:36:26 +0000 2011,NA,NA,NA,NA,NA,"AI, EU PERGUNTO""; ""QUEM VAI GRITAR PELA LIBERDADE DO ""BOB JEF""""?
É SULRREAL..ASSISTIRMOS A PASSIVIDADE COM QUE A SO… https://t.co/GLyrMyuYGw"
ID_1488304035543371776,Tue Feb 01 00:11:48 +0000 2022,canuck_b,18,Tue Sep 14 01:00:44 +0000 2021,RID_38885578,Mon Jan 31 23:47:30 +0000 2022,lamphieryeg,19741,Mon Jan 31 23:47:30 +0000 2022,"RT @lamphieryeg: #cdnpoli 
BLM, the thuggish group Trudeau admires, is little more than a money laundering operation. Here are the greasy d…"
ID_1488304048444956672,Tue Feb 01 00:11:51 +0000 2022,SteelMann24,195,Wed Mar 05 16:47:03 +0000 2014,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304048444956672,Tue Feb 01 00:11:51 +0000 2022,SteelMann24,195,Wed Mar 05 16:47:03 +0000 2014,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304088374820867,Tue Feb 01 00:12:00 +0000 2022,CHabsv3,82,Thu Jan 27 19:32:45 +0000 2022,NA,NA,NA,NA,NA,@peggy_blair If this was a black lives matter protest the swat team would have been called in on Saturday
ID_1488304096373260292,Tue Feb 01 00:12:02 +0000 2022,comradeflatbush,16,Sat Sep 21 23:16:33 +0000 2019,RID_215598844,Tue Feb 01 00:05:06 +0000 2022,LeftSentThis,66440,Tue Feb 01 00:05:06 +0000 2022,"RT @LeftSentThis: This sounds like a convoluted ass mess of epic proportions: 

“Black Lives Matter 'transferred millions to Canadian chari…"
ID_1488304098189488128,Tue Feb 01 00:12:03 +0000 2022,DanielMendoncca,2384,Mon May 19 00:31:29 +0000 2014,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304098189488128,Tue Feb 01 00:12:03 +0000 2022,DanielMendoncca,2384,Mon May 19 00:31:29 +0000 2014,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304098168512515,Tue Feb 01 00:12:03 +0000 2022,say_the_names,202,Fri Jun 05 17:44:28 +0000 2020,NA,NA,NA,NA,NA,Breonna Taylor #BlackLivesMatter
ID_1488304105395208195,Tue Feb 01 00:12:04 +0000 2022,MarcosM58341930,531,Wed Aug 05 23:31:38 +0000 2020,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304105395208195,Tue Feb 01 00:12:04 +0000 2022,MarcosM58341930,531,Wed Aug 05 23:31:38 +0000 2020,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304108738068480,Tue Feb 01 00:12:05 +0000 2022,noreturnfrom86_,149,Thu Jun 11 17:21:07 +0000 2020,NA,NA,NA,NA,NA,@IchigoTomago just curious what's your opinion of the Black Lives Matter organization?
ID_1488304127780134913,Tue Feb 01 00:12:10 +0000 2022,adavidpglass,959,Tue Feb 08 23:13:48 +0000 2011,RID_96149284,Mon Jan 31 15:15:51 +0000 2022,michaelharriot,496688,Mon Jan 31 15:15:51 +0000 2022,"RT @michaelharriot: “Not a single Black movement in the history of this country has been universally supported by lawmakers, law enforcers,…"
ID_1488304129600589826,Tue Feb 01 00:12:10 +0000 2022,arzmay,426,Sun Jul 14 13:41:54 +0000 2013,RID_164937298,Mon Jan 31 18:44:55 +0000 2022,Kennethsus,851,Mon Jan 31 18:44:55 +0000 2022,RT @Kennethsus: @MrFlyyyGuyyy https://t.co/1gfr45LWMU
ID_1488304141533388801,Tue Feb 01 00:12:13 +0000 2022,candida17131270,663,Sun Jul 07 19:45:25 +0000 2019,RID_1290049409993117696,Mon Jan 31 18:02:41 +0000 2022,bernardokuster2,160176,Mon Jan 31 18:02:41 +0000 2022,"RT @bernardokuster2: Após pegar Covid e ter de ficar (convenientemente) isolado, o PM canadense Justin Trudeau, acusa o imenso comboio de c…"
ID_1488304146017144836,Tue Feb 01 00:12:14 +0000 2022,rxbypxyne,8,Thu Aug 05 00:40:17 +0000 2021,NA,NA,NA,NA,NA,Happy 28th birthday to the man who taught me how to love. The man who taught me it’s okay not to be okay. The man w… https://t.co/pdeOzo8GqW
ID_1488304154896437252,Tue Feb 01 00:12:16 +0000 2022,___Baby_Yoda___,342,Thu Sep 15 21:29:14 +0000 2011,NA,NA,NA,NA,NA,"@NickFondacaro But, @WhoopiGoldberg, when we responded to Black Lives Matter with All Lives Matter, we were told th… https://t.co/mWGauE4kln"
ID_1488304154896437252,Tue Feb 01 00:12:16 +0000 2022,___Baby_Yoda___,342,Thu Sep 15 21:29:14 +0000 2011,NA,NA,NA,NA,NA,"@NickFondacaro But, @WhoopiGoldberg, when we responded to Black Lives Matter with All Lives Matter, we were told th… https://t.co/mWGauE4kln"
ID_1488304173913411588,Tue Feb 01 00:12:21 +0000 2022,ElicleideQuiri,927,Tue Dec 08 00:38:37 +0000 2015,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304173913411588,Tue Feb 01 00:12:21 +0000 2022,ElicleideQuiri,927,Tue Dec 08 00:38:37 +0000 2015,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304178413907969,Tue Feb 01 00:12:22 +0000 2022,xiaosback,20,Tue Nov 10 15:36:41 +0000 2020,RID_57828037,Mon Jan 31 20:57:33 +0000 2022,PersonalEscrito,21278,Mon Jan 31 20:57:33 +0000 2022,"RT @PersonalEscrito: #Brazil: Moise Mugenyi Kabagambe, a young refugee from the DRC was beaten to death by five men for demanding his daily…"
ID_1488304181546917888,Tue Feb 01 00:12:22 +0000 2022,wghodge,744,Mon Jun 13 17:06:03 +0000 2011,RID_38885578,Mon Jan 31 23:47:30 +0000 2022,lamphieryeg,19738,Mon Jan 31 23:47:30 +0000 2022,"RT @lamphieryeg: #cdnpoli 
BLM, the thuggish group Trudeau admires, is little more than a money laundering operation. Here are the greasy d…"
ID_1488304181928550401,Tue Feb 01 00:12:22 +0000 2022,breanskis,58,Fri Apr 03 03:58:01 +0000 2009,RID_732429326285705216,Mon Jan 31 23:23:37 +0000 2022,AndrewKerrNC,11622,Mon Jan 31 23:23:37 +0000 2022,"RT @AndrewKerrNC: Once again, conservative media is a year ahead of legacy/liberal press on a major story.

Glad to see @NYMag scrutinizing…"
ID_1488304182960525314,Tue Feb 01 00:12:23 +0000 2022,MarinhotpH,2006,Thu Aug 25 18:36:26 +0000 2011,NA,NA,NA,NA,NA,"AI, EU PERGUNTO""; ""QUEM VAI GRITAR PELA LIBERDADE DO ""BOB JEF""""?
É SULRREAL..ASSISTIRMOS A PASSIVIDADE COM QUE A SO… https://t.co/oJp9USwdK0"
ID_1488304190346739715,Tue Feb 01 00:12:24 +0000 2022,DuskyChan,1,Fri Oct 30 18:27:44 +0000 2020,NA,NA,NA,NA,NA,"@vindeejo @FoxNews True, they do seem to be running a little bit better with the requests of the Black Lives Matter protest."
ID_1488304191344766981,Tue Feb 01 00:12:25 +0000 2022,AngelHinostroz_,30,Thu Jun 27 17:50:50 +0000 2019,NA,NA,NA,NA,NA,"Trudeau es un hipocrita y un mentiroso descarado, BLM fue de los movimientos  mas violentos del 2020, destrozaron n… https://t.co/ZK8ssrxpjN"
ID_1488304191344766981,Tue Feb 01 00:12:25 +0000 2022,AngelHinostroz_,30,Thu Jun 27 17:50:50 +0000 2019,NA,NA,NA,NA,NA,"Trudeau es un hipocrita y un mentiroso descarado, BLM fue de los movimientos  mas violentos del 2020, destrozaron n… https://t.co/ZK8ssrxpjN"
ID_1488304234558902276,Tue Feb 01 00:12:35 +0000 2022,LDrzemiecki,959,Thu Sep 13 15:18:08 +0000 2018,NA,NA,NA,NA,NA,While all of you looking forward to the superbowl just think about who they hired for half time..two entertainers w… https://t.co/uwtvD0Xag6
ID_1488304245254365187,Tue Feb 01 00:12:38 +0000 2022,xoxochar333,191,Sun Jun 28 06:30:11 +0000 2020,RID_164937298,Mon Jan 31 18:44:55 +0000 2022,Kennethsus,851,Mon Jan 31 18:44:55 +0000 2022,RT @Kennethsus: @MrFlyyyGuyyy https://t.co/1gfr45LWMU
ID_1488304245250134019,Tue Feb 01 00:12:38 +0000 2022,Keith_Storma,1026,Sun Aug 22 11:30:02 +0000 2021,RID_1390419611758252034,Mon Jan 31 22:42:01 +0000 2022,BlackZorro07,1278,Mon Jan 31 22:42:01 +0000 2022,"RT @BlackZorro07: What #masongreenwood did 

Has ZERO bearing on #BlackLivesMatter - a slogan used by black people to protest the racism th…"
ID_1488304252284018695,Tue Feb 01 00:12:39 +0000 2022,SarahJayneMAGA,73,Thu Jan 27 04:39:23 +0000 2022,NA,NA,NA,NA,NA,"@DemsAreGarbage1 Yes. COVID. 

So much for blue lives matter I guess?"
ID_1488304258676137986,Tue Feb 01 00:12:41 +0000 2022,msbahia,41,Sat Jun 20 18:50:35 +0000 2009,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304258676137986,Tue Feb 01 00:12:41 +0000 2022,msbahia,41,Sat Jun 20 18:50:35 +0000 2009,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304258927804426,Tue Feb 01 00:12:41 +0000 2022,smit_ty,1856,Sat Sep 19 15:16:32 +0000 2009,NA,NA,NA,NA,NA,#BlackTwitter #BlackLivesMatter
ID_1488304261117132800,Tue Feb 01 00:12:41 +0000 2022,zappafreak83,2115,Thu Nov 10 00:18:30 +0000 2011,RID_1314418472399462400,Mon Jan 31 23:24:27 +0000 2022,Hannah_Bananaz,26581,Mon Jan 31 23:24:27 +0000 2022,"RT @Hannah_Bananaz: CBC right now:

Reporter: why is this largely white protest being treated differently than other protests (Black Lives…"
ID_1488304262304210944,Tue Feb 01 00:12:42 +0000 2022,ChiodiniFabio0,922,Thu Feb 09 00:23:17 +0000 2017,RID_1290049409993117696,Mon Jan 31 18:02:41 +0000 2022,bernardokuster2,160175,Mon Jan 31 18:02:41 +0000 2022,"RT @bernardokuster2: Após pegar Covid e ter de ficar (convenientemente) isolado, o PM canadense Justin Trudeau, acusa o imenso comboio de c…"
ID_1488304294478872576,Tue Feb 01 00:12:49 +0000 2022,charmedp4i,514,Tue Sep 14 13:36:36 +0000 2010,RID_1258293575651033093,Mon Jan 31 10:28:18 +0000 2022,fars_sanctuary,1345,Mon Jan 31 10:28:18 +0000 2022,"RT @fars_sanctuary: In all the ways that matter, farm animals are not so very different to the companion animals with whom many of us share…"
ID_1488304304691818496,Tue Feb 01 00:12:52 +0000 2022,Wil_Johnson1,6305,Tue Sep 13 21:36:35 +0000 2011,NA,NA,NA,NA,NA,"Biden Fed Nominee Has History of Black Lives Matter Bullying, Support for Reparations https://t.co/9DiCvkfoJE via @BreitbartNews"
ID_1488304312304427010,Tue Feb 01 00:12:54 +0000 2022,GlacijoneP,953,Fri Nov 01 11:44:37 +0000 2019,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304312304427010,Tue Feb 01 00:12:54 +0000 2022,GlacijoneP,953,Fri Nov 01 11:44:37 +0000 2019,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304335591292928,Tue Feb 01 00:12:59 +0000 2022,profaerci,20,Mon Nov 01 22:12:40 +0000 2010,RID_1290049409993117696,Mon Jan 31 18:02:41 +0000 2022,bernardokuster2,160175,Mon Jan 31 18:02:41 +0000 2022,"RT @bernardokuster2: Após pegar Covid e ter de ficar (convenientemente) isolado, o PM canadense Justin Trudeau, acusa o imenso comboio de c…"
ID_1488304339236134913,Tue Feb 01 00:13:00 +0000 2022,Tinu,46769,Fri May 25 19:01:18 +0000 2007,RID_390887506,Mon Jan 31 19:26:50 +0000 2022,MarcSafman,578,Mon Jan 31 19:26:50 +0000 2022,"RT @MarcSafman: now through Fri 2/4-CALL (518)474-8390 write https://t.co/duVgkSPINJ Tell @GovKathyHochul @LtGovBenjamin
to Listen to #Live…"
ID_1488304341714939906,Tue Feb 01 00:13:01 +0000 2022,NCSenateDems,16344,Wed Feb 02 20:22:05 +0000 2011,RID_15431762,Mon Jan 31 20:30:09 +0000 2022,ncae,11742,Mon Jan 31 20:30:09 +0000 2022,RT @ncae: Today marks day 1️⃣ of Black Lives Matter Week of Action! Educators and allies are coming together to ensure that every Black stu…
ID_1488304346823639041,Tue Feb 01 00:13:02 +0000 2022,9_nyss,4498,Fri Oct 19 09:00:06 +0000 2018,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304346823639041,Tue Feb 01 00:13:02 +0000 2022,9_nyss,4498,Fri Oct 19 09:00:06 +0000 2018,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304350761996290,Tue Feb 01 00:13:03 +0000 2022,teflonsteph,1365,Sun Apr 29 10:26:16 +0000 2012,RID_1063839405977337856,Mon Jan 31 23:24:24 +0000 2022,sophielouisecc,41942,Mon Jan 31 23:24:24 +0000 2022,RT @sophielouisecc: I love seeing the left trying to paint the trucker convoy as ‘dangerous’ and ‘violent’ as if the Black Lives Matter pro…
ID_1488304361520484364,Tue Feb 01 00:13:05 +0000 2022,CobbShimone,479,Tue Apr 14 22:51:43 +0000 2015,NA,NA,NA,NA,NA,Such a tragedy to know what has happened to this young man helping his partner.We honor you NYPD PO #WilbertMora fo… https://t.co/rppnKzsg30
ID_1488304371414843394,Tue Feb 01 00:13:08 +0000 2022,luiz_scapechi,79,Mon Apr 27 22:22:39 +0000 2020,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304373440696322,Tue Feb 01 00:13:08 +0000 2022,NackeRobert,6178,Sat Jul 04 11:27:56 +0000 2015,RID_1177282458645159941,Wed Dec 15 10:33:35 +0000 2021,Euralia7,3886,Wed Dec 15 10:33:35 +0000 2021,"RT @Euralia7: Be the kind of energy that no matter where you will go, you will always add value to the lives of people around you. https://…"
ID_1488304371414843394,Tue Feb 01 00:13:08 +0000 2022,luiz_scapechi,79,Mon Apr 27 22:22:39 +0000 2020,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304374996738051,Tue Feb 01 00:13:09 +0000 2022,Eduardo90504717,69,Wed Mar 31 09:39:28 +0000 2021,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304374996738051,Tue Feb 01 00:13:09 +0000 2022,Eduardo90504717,69,Wed Mar 31 09:39:28 +0000 2021,RID_1028015731,Mon Jan 31 23:02:31 +0000 2022,lordivan22,78236,Mon Jan 31 23:02:31 +0000 2022,"RT @lordivan22: EUA 🇺🇸: O BLM (black lives matter) movimentou milhões de dólares para uma instituição de caridade no Canadá, dirigida pela…"
ID_1488304377702010881,Tue Feb 01 00:13:09 +0000 2022,t_paul007,49,Sun Jun 20 10:09:09 +0000 2010,RID_772529887,Mon Jan 31 22:04:10 +0000 2022,bigricanman,25988,Mon Jan 31 22:04:10 +0000 2022,RT @bigricanman: 1. As we prepare to honor @NYPDnews PO #WilbertMora I am going to post some personal pics &amp; videos that his friends have s…
ID_1488304385973227520,Tue Feb 01 00:13:11 +0000 2022,Ralston727,403,Mon Mar 15 08:51:28 +0000 2021,RID_1314418472399462400,Mon Jan 31 23:24:27 +0000 2022,Hannah_Bananaz,26581,Mon Jan 31 23:24:27 +0000 2022,"RT @Hannah_Bananaz: CBC right now:

Reporter: why is this largely white protest being treated differently than other protests (Black Lives…"
